Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
1,2017-07-01,14.0,Düsseldorf,Düsseldorf,Individual time trial,Geraint Thomas,GBR,2017,Geraint_Thomas,Time trial,1986-05-25,Cardiff
2,2017-07-02,203.5,Düsseldorf,Liège,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
3,2017-07-03,212.5,Verviers,Longwy,Medium mountain stage,Peter Sagan,SVK,2017,Peter_Sagan,Mountain stage,1990-01-26,Žilina
4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA,2017,Arnaud_Démare,,1991-08-26,Beauvais
5,2017-07-05,160.5,Vittel,La Planche des Belles Filles,Medium mountain stage,Fabio Aru,ITA,2017,Fabio_Aru,Mountain stage,1990-07-03,San Gavino Monreale
6,2017-07-06,216.0,Vesoul,Troyes,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
7,2017-07-07,213.5,Troyes,Nuits-Saint-Georges,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
8,2017-07-08,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA,2017,Lilian_Calmejane,Mountain stage,1992-12-06,Albi
9,2017-07-09,181.5,Nantua,Chambéry,High mountain stage,Rigoberto Urán,COL,2017,Rigoberto_Urán,Mountain stage,1987-01-26,Urrao
10,2017-07-11,178.0,Périgueux,Bergerac,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
11,2017-07-12,203.5,Eymet,Pau,Flat stage,Marcel Kittel,GER,2017,Marcel_Kittel,,1988-05-11,Arnstadt
12,2017-07-13,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA,2017,Romain_Bardet,Mountain stage,1990-11-09,Brioude
13,2017-07-14,101.0,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA,2017,Warren_Barguil,Mountain stage,1991-10-28,Hennebont
14,2017-07-15,181.5,Blagnac,Rodez,Medium mountain stage,Michael Matthews,AUS,2017,Michael_Matthews,Mountain stage,,
15,2017-07-16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Medium mountain stage,Bauke Mollema,NED,2017,Bauke_Mollema,Mountain stage,1986-11-26,Groningue
16,2017-07-18,165.0,Le Puy-en-Velay,Romans-sur-Isère,Medium mountain stage,Michael Matthews,AUS,2017,Michael_Matthews,Mountain stage,,
17,2017-07-19,183.0,La Mure,Serre Chevalier,High mountain stage,Primož Roglič,SLO,2017,Primož_Roglič,Mountain stage,1989-10-29,"Trbovlje (Trbovlje (en), République socialiste de Slovénie, République fédérative socialiste de Yougoslavie)"
18,2017-07-20,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA,2017,Warren_Barguil,Mountain stage,1991-10-28,Hennebont
19,2017-07-21,222.5,Embrun,Salon-de-Provence,Flat stage,Edvald Boasson Hagen,NOR,2017,Edvald_Boasson_Hagen,,1987-05-17,Lillehammer
20,2017-07-22,22.5,Marseille,Marseille,Individual time trial,Maciej Bodnar,POL,2017,Maciej_Bodnar,Time trial,1985-03-07,Oława
21,2017-07-23,103.0,Montgeron,Paris,Flat stage,Dylan Groenewegen,NED,2017,Dylan_Groenewegen,,1993-06-21,Amsterdam
1,2016-07-02,188.0,Mont Saint-Michel,Utah Beach,Flat stage,Mark Cavendish,GBR,2016,Mark_Cavendish,,1985-05-21,Douglas
2,2016-07-03,183.0,Saint-Lô,Cherbourg-en-Cotentin,Flat stage,Peter Sagan,SVK,2016,Peter_Sagan,,1990-01-26,Žilina
3,2016-07-04,223.5,Granville,Angers,Flat stage,Mark Cavendish,GBR,2016,Mark_Cavendish,,1985-05-21,Douglas
4,2016-07-05,237.5,Saumur,Limoges,Flat stage,Marcel Kittel,GER,2016,Marcel_Kittel,,1988-05-11,Arnstadt
5,2016-07-06,216.0,Limoges,Le Lioran,Medium mountain stage,Greg Van Avermaet,BEL,2016,Greg_Van_Avermaet,Mountain stage,1985-05-17,Lokeren
6,2016-07-07,190.5,Arpajon-sur-Cère,Montauban,Flat stage,Mark Cavendish,GBR,2016,Mark_Cavendish,,1985-05-21,Douglas
7,2016-07-08,162.5,L'Isle-Jourdain,Lac de Payolle,Medium mountain stage,Steve Cummings,GBR,2016,Steve_Cummings,Mountain stage,1981-03-19,Clatterbridge (en)
8,2016-07-09,184.0,Pau,Bagnères-de-Luchon,High mountain stage,Chris Froome,GBR,2016,Chris_Froome,Mountain stage,1985-05-20,Nairobi (Kenya)
9,2016-07-10,184.5,Vielha Val d'Aran,Andorra-Arcalis,High mountain stage,Tom Dumoulin,NED,2016,Tom_Dumoulin,Mountain stage,1990-11-11,Maastricht
10,2016-07-12,197.0,Escaldes-Engordany,Revel,Medium mountain stage,Michael Matthews,AUS,2016,Michael_Matthews,Mountain stage,,
11,2016-07-13,162.5,Carcassonne,Montpellier,Flat stage,Peter Sagan,SVK,2016,Peter_Sagan,,1990-01-26,Žilina
12,2016-07-14,178.0,Montpellier,Chalet Reynard,High mountain stage,Thomas De Gendt,BEL,2016,Thomas_De_Gendt,Mountain stage,1986-11-06,Saint-Nicolas-Waes
13,2016-07-15,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Individual time trial,Tom Dumoulin,NED,2016,Tom_Dumoulin,Time trial,1990-11-11,Maastricht
14,2016-07-16,208.5,Montélimar,Villars-les-Dombes,Flat stage,Mark Cavendish,GBR,2016,Mark_Cavendish,,1985-05-21,Douglas
15,2016-07-17,160.0,Bourg-en-Bresse,Culoz,High mountain stage,Jarlinson Pantano,COL,2016,Jarlinson_Pantano,Mountain stage,1988-11-19,Cali
16,2016-07-18,209.0,Moirans-en-Montagne,Bern,Flat stage,Peter Sagan,SVK,2016,Peter_Sagan,,1990-01-26,Žilina
17,2016-07-20,184.5,Bern,Finhaut-Émosson,High mountain stage,Ilnur Zakarin,RUS,2016,Ilnur_Zakarin,Mountain stage,1989-09-15,Naberejnye Tchelny
18,2016-07-21,17.0,Sallanches,Megève,Mountain time trial,Chris Froome,GBR,2016,Chris_Froome,Time trial,1985-05-20,Nairobi (Kenya)
19,2016-07-22,146.0,Albertville,Saint Gervais-les-Bains,High mountain stage,Romain Bardet,FRA,2016,Romain_Bardet,Mountain stage,1990-11-09,Brioude
20,2016-07-23,146.5,Megève,Morzine,High mountain stage,Ion Izagirre,ESP,2016,Ion_Izagirre,Mountain stage,1989-02-04,Ormaiztegi
21,2016-07-24,113.0,Chantilly,Paris,Flat stage,André Greipel,GER,2016,André_Greipel,,1982-07-16,Rostock
1,2015-07-04,13.8,Utrecht,Utrecht,Individual time trial,Rohan Dennis,AUS,2015,Rohan_Dennis,Time trial,1990-05-28,Adélaïde
2,2015-07-05,166.0,Utrecht,Zeeland,Flat stage,André Greipel,GER,2015,André_Greipel,,1982-07-16,Rostock
3,2015-07-06,159.5,Antwerp,Huy,Flat stage,Joaquim Rodríguez,ESP,2015,Joaquim_Rodríguez,,1979-05-12,Barcelone ou Parets del Vallès
4,2015-07-07,223.5,Seraing,Cambrai,Medium mountain stage,Tony Martin,GER,2015,Tony_Martin,Mountain stage,,
5,2015-07-08,189.5,Arras,Amiens,Flat stage,André Greipel,GER,2015,André_Greipel,,1982-07-16,Rostock
6,2015-07-09,191.5,Abbeville,Le Havre,Flat stage,Zdeněk Štybar,CZE,2015,Zdeněk_Štybar,,1985-12-11,Planá
7,2015-07-10,190.5,Livarot,Fougères,Flat stage,Mark Cavendish,GBR,2015,Mark_Cavendish,,1985-05-21,Douglas
8,2015-07-11,181.5,Rennes,Mûr-de-Bretagne,Flat stage,Alexis Vuillermoz,FRA,2015,Alexis_Vuillermoz,,1988-06-01,Saint-Claude
9,2015-07-12,28.0,Vannes,Plumelec,Team time trial,BMC Racing Team,,2015,BMC_Racing_Team,Flat stage,,
10,2015-07-14,167.0,Tarbes,La Pierre Saint-Martin,High mountain stage,Chris Froome,GBR,2015,Chris_Froome,Mountain stage,1985-05-20,Nairobi (Kenya)
11,2015-07-15,188.0,Pau,Cauterets,High mountain stage,Rafał Majka,POL,2015,Rafał_Majka,Mountain stage,1989-09-12,Zegartowice
12,2015-07-16,195.0,Lannemezan,Plateau de Beille,High mountain stage,Joaquim Rodríguez,ESP,2015,Joaquim_Rodríguez,Mountain stage,1979-05-12,Barcelone ou Parets del Vallès
13,2015-07-17,198.5,Muret,Rodez,Medium mountain stage,Greg Van Avermaet,BEL,2015,Greg_Van_Avermaet,Mountain stage,1985-05-17,Lokeren
14,2015-07-18,178.5,Rodez,Mende,Medium mountain stage,Steve Cummings,GBR,2015,Steve_Cummings,Mountain stage,1981-03-19,Clatterbridge (en)
15,2015-07-19,183.0,Mende,Valence,Medium mountain stage,André Greipel,GER,2015,André_Greipel,Mountain stage,1982-07-16,Rostock
16,2015-07-20,201.0,Bourg-de-Péage,Gap,Medium mountain stage,Rubén Plaza Molina,ESP,2015,Rubén_Plaza_Molina,Mountain stage,,
17,2015-07-22,161.0,Digne-les-Bains,Pra-Loup,High mountain stage,Simon Geschke,GER,2015,Simon_Geschke,Mountain stage,1986-03-13,Berlin
18,2015-07-23,186.5,Gap,Saint-Jean-de-Maurienne,High mountain stage,Romain Bardet,FRA,2015,Romain_Bardet,Mountain stage,1990-11-09,Brioude
19,2015-07-24,138.0,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,High mountain stage,Vincenzo Nibali,ITA,2015,Vincenzo_Nibali,Mountain stage,1984-11-14,Messine
20,2015-07-25,110.5,Modane,Alpe d'Huez,High mountain stage,Thibaut Pinot,FRA,2015,Thibaut_Pinot,Mountain stage,1990-05-29,Lure
21,2015-07-26,109.5,Sèvres,Paris,Flat stage,André Greipel,GER,2015,André_Greipel,,1982-07-16,Rostock
1,2014-07-05,190.5,Leeds,Harrogate,Flat stage,Marcel Kittel,GER,2014,Marcel_Kittel,,1988-05-11,Arnstadt
2,2014-07-06,201.0,York,Sheffield,Medium mountain stage,Vincenzo Nibali,ITA,2014,Vincenzo_Nibali,Mountain stage,1984-11-14,Messine
3,2014-07-07,155.0,Cambridge,London,Flat stage,Marcel Kittel,GER,2014,Marcel_Kittel,,1988-05-11,Arnstadt
4,2014-07-08,163.5,Le Touquet-Paris-Plage,Lille Metropole,Flat stage,Marcel Kittel,GER,2014,Marcel_Kittel,,1988-05-11,Arnstadt
5,2014-07-09,152.5,Ypres,Arenberg Porte du Hainaut,Medium mountain stage,Lars Boom,NED,2014,Lars_Boom,Mountain stage,1985-12-30,Vlijmen
6,2014-07-10,194.0,Arras,Reims,Flat stage,André Greipel,GER,2014,André_Greipel,,1982-07-16,Rostock
7,2014-07-11,234.5,Épernay,Nancy,Flat stage,Matteo Trentin,ITA,2014,Matteo_Trentin,,1989-08-02,Borgo Valsugana
8,2014-07-12,161.0,Tomblaine,Gérardmer La Mauselaine,Medium mountain stage,Blel Kadri,FRA,2014,Blel_Kadri,Mountain stage,1986-09-03,Bordeaux
9,2014-07-13,170.0,Gérardmer,Mulhouse,Medium mountain stage,Tony Martin,GER,2014,Tony_Martin,Mountain stage,,
10,2014-07-14,161.5,Mulhouse,La Planche des Belles Filles,High mountain stage,Vincenzo Nibali,ITA,2014,Vincenzo_Nibali,Mountain stage,1984-11-14,Messine
11,2014-07-16,187.5,Besançon,Oyonnax,Medium mountain stage,Tony Gallopin,FRA,2014,Tony_Gallopin,Mountain stage,1988-05-24,Dourdan
12,2014-07-17,185.5,Bourg-en-Bresse,Saint-Étienne,Flat stage,Alexander Kristoff,NOR,2014,Alexander_Kristoff,,1987-07-05,Stavanger
13,2014-07-18,197.5,Saint-Étienne,Chamrousse,High mountain stage,Vincenzo Nibali,ITA,2014,Vincenzo_Nibali,Mountain stage,1984-11-14,Messine
14,2014-07-19,177.0,Grenoble,Risoul,High mountain stage,Rafał Majka,POL,2014,Rafał_Majka,Mountain stage,1989-09-12,Zegartowice
15,2014-07-20,222.0,Tallard,Nîmes,Flat stage,Alexander Kristoff,NOR,2014,Alexander_Kristoff,,1987-07-05,Stavanger
16,2014-07-22,237.5,Carcassonne,Bagnères-de-Luchon,High mountain stage,Michael Rogers,AUS,2014,Michael_Rogers,Mountain stage,,
17,2014-07-23,124.5,Saint-Gaudens,Saint-Lary Pla d’Adet,High mountain stage,Rafał Majka,POL,2014,Rafał_Majka,Mountain stage,1989-09-12,Zegartowice
18,2014-07-24,145.5,Pau,Hautacam,High mountain stage,Vincenzo Nibali,ITA,2014,Vincenzo_Nibali,Mountain stage,1984-11-14,Messine
19,2014-07-25,208.5,Maubourguet Pays du Val d’Adour,Bergerac,Flat stage,Ramūnas Navardauskas,LTU,2014,Ramūnas_Navardauskas,,1988-01-30,Šilalė
20,2014-07-26,54.0,Bergerac,Périgueux,Individual time trial,Tony Martin,GER,2014,Tony_Martin,Time trial,,
21,2014-07-27,137.5,Évry,Paris,Flat stage,Marcel Kittel,GER,2014,Marcel_Kittel,,1988-05-11,Arnstadt
1,2013-06-29,213.0,Porto-Vecchio,Bastia,Flat stage,Marcel Kittel,GER,2013,Marcel_Kittel,,1988-05-11,Arnstadt
2,2013-06-30,156.0,Bastia,Ajaccio,Medium mountain stage,Jan Bakelants,BEL,2013,Jan_Bakelants,Mountain stage,1986-02-14,Herentals
3,2013-07-01,145.5,Ajaccio,Calvi,Medium mountain stage,Simon Gerrans,AUS,2013,Simon_Gerrans,Mountain stage,1980-05-16,Melbourne
4,2013-07-02,25.0,Nice,Nice,Team time trial,Orica–GreenEDGE,,2013,Orica–GreenEDGE,Flat stage,,
5,2013-07-03,228.5,Cagnes-sur-Mer,Marseille,Flat stage,Mark Cavendish,GBR,2013,Mark_Cavendish,,1985-05-21,Douglas
6,2013-07-04,176.5,Aix-en-Provence,Montpellier,Flat stage,André Greipel,GER,2013,André_Greipel,,1982-07-16,Rostock
7,2013-07-05,205.5,Montpellier,Albi,Flat stage,Peter Sagan,SVK,2013,Peter_Sagan,,1990-01-26,Žilina
8,2013-07-06,195.0,Castres,Ax 3 Domaines,High mountain stage,Chris Froome,GBR,2013,Chris_Froome,Mountain stage,1985-05-20,Nairobi (Kenya)
9,2013-07-07,168.5,Saint-Girons,Bagnères-de-Bigorre,High mountain stage,Dan Martin,IRL,2013,Dan_Martin,Mountain stage,,
10,2013-07-09,197.0,Saint-Gildas-des-Bois,Saint-Malo,Flat stage,Marcel Kittel,GER,2013,Marcel_Kittel,,1988-05-11,Arnstadt
11,2013-07-10,33.0,Avranches,Mont Saint-Michel,Individual time trial,Tony Martin,GER,2013,Tony_Martin,Time trial,,
12,2013-07-11,218.0,Fougères,Tours,Flat stage,Marcel Kittel,GER,2013,Marcel_Kittel,,1988-05-11,Arnstadt
13,2013-07-12,173.0,Tours,Saint-Amand-Montrond,Flat stage,Mark Cavendish,GBR,2013,Mark_Cavendish,,1985-05-21,Douglas
14,2013-07-13,191.0,Saint-Pourçain-sur-Sioule,Lyon,Medium mountain stage,Matteo Trentin,ITA,2013,Matteo_Trentin,Mountain stage,1989-08-02,Borgo Valsugana
15,2013-07-14,242.5,Givors,Mont Ventoux,High mountain stage,Chris Froome,GBR,2013,Chris_Froome,Mountain stage,1985-05-20,Nairobi (Kenya)
16,2013-07-16,168.0,Vaison-la-Romaine,Gap,High mountain stage,Rui Costa,POR,2013,Rui_Costa,Mountain stage,,
17,2013-07-17,32.0,Embrun,Chorges,Individual time trial,Chris Froome,GBR,2013,Chris_Froome,Time trial,1985-05-20,Nairobi (Kenya)
18,2013-07-18,172.5,Gap,Alpe d'Huez,High mountain stage,Christophe Riblon,FRA,2013,Christophe_Riblon,Mountain stage,1981-01-17,Tremblay-en-France
19,2013-07-19,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,High mountain stage,Rui Costa,POR,2013,Rui_Costa,Mountain stage,,
20,2013-07-20,125.0,Annecy,Semnoz,High mountain stage,Nairo Quintana,COL,2013,Nairo_Quintana,Mountain stage,1990-02-04,Tunja
21,2013-07-21,133.5,Versailles,Paris,Flat stage,Marcel Kittel,GER,2013,Marcel_Kittel,,1988-05-11,Arnstadt
P,2012-06-30,6.4,Liège,Liège,Individual time trial,Fabian Cancellara,SUI,2012,Fabian_Cancellara,Time trial,1981-03-18,Wohlen bei Bern
1,2012-07-01,198.0,Liège,Seraing,Flat stage,Peter Sagan,SVK,2012,Peter_Sagan,,1990-01-26,Žilina
2,2012-07-02,207.5,Visé,Tournai,Flat stage,Mark Cavendish,GBR,2012,Mark_Cavendish,,1985-05-21,Douglas
3,2012-07-03,197.0,Orchies,Boulogne-sur-Mer,Medium mountain stage,Peter Sagan,SVK,2012,Peter_Sagan,Mountain stage,1990-01-26,Žilina
4,2012-07-04,214.5,Abbeville,Rouen,Flat stage,André Greipel,GER,2012,André_Greipel,,1982-07-16,Rostock
5,2012-07-05,196.5,Rouen,Saint-Quentin,Flat stage,André Greipel,GER,2012,André_Greipel,,1982-07-16,Rostock
6,2012-07-06,207.5,Épernay,Metz,Flat stage,Peter Sagan,SVK,2012,Peter_Sagan,,1990-01-26,Žilina
7,2012-07-07,199.0,Tomblaine,La Planche des Belles Filles,Medium mountain stage,Chris Froome,GBR,2012,Chris_Froome,Mountain stage,1985-05-20,Nairobi (Kenya)
8,2012-07-08,157.5,Belfort,Porrentruy,Medium mountain stage,Thibaut Pinot,FRA,2012,Thibaut_Pinot,Mountain stage,1990-05-29,Lure
9,2012-07-09,41.5,Arc-et-Senans,Besançon,Individual time trial,Bradley Wiggins,GBR,2012,Bradley_Wiggins,Time trial,1980-04-28,Gand
10,2012-07-11,194.5,Mâcon,Bellegarde-sur-Valserine,High mountain stage,Thomas Voeckler,FRA,2012,Thomas_Voeckler,Mountain stage,1979-06-22,Schiltigheim
11,2012-07-12,148.0,Albertville,La Toussuire-Les Sybelles,High mountain stage,Pierre Rolland,FRA,2012,Pierre_Rolland,Mountain stage,,
12,2012-07-13,226.0,Saint-Jean-de-Maurienne,Annonay-Davézieux,Medium mountain stage,David Millar,GBR,2012,David_Millar,Mountain stage,1977-01-04,Mtarfa
13,2012-07-14,217.0,Saint-Paul-Trois-Châteaux,Cap d'Agde,Flat stage,André Greipel,GER,2012,André_Greipel,,1982-07-16,Rostock
14,2012-07-15,191.0,Limoux,Foix,High mountain stage,Luis León Sánchez,ESP,2012,Luis_León_Sánchez,Mountain stage,1983-11-24,Mula
15,2012-07-16,158.5,Samatan,Pau,Flat stage,Pierrick Fédrigo,FRA,2012,Pierrick_Fédrigo,,1978-11-30,Marmande
16,2012-07-18,197.0,Pau,Bagnères-de-Luchon,High mountain stage,Thomas Voeckler,FRA,2012,Thomas_Voeckler,Mountain stage,1979-06-22,Schiltigheim
17,2012-07-19,143.5,Bagnères-de-Luchon,Peyragudes,High mountain stage,Alejandro Valverde,ESP,2012,Alejandro_Valverde,Mountain stage,1980-04-25,Murcie
18,2012-07-20,222.5,Blagnac,Brive-la-Gaillarde,Flat stage,Mark Cavendish,GBR,2012,Mark_Cavendish,,1985-05-21,Douglas
19,2012-07-21,53.5,Bonneval,Chartres,Individual time trial,Bradley Wiggins,GBR,2012,Bradley_Wiggins,Time trial,1980-04-28,Gand
20,2012-07-22,120.0,Rambouillet,Paris,Flat stage,Mark Cavendish,GBR,2012,Mark_Cavendish,,1985-05-21,Douglas
1,2011-07-02,191.5,Passage du Gois,Mont des Alouettes,Flat stage,Philippe Gilbert,BEL,2011,Philippe_Gilbert,,,
2,2011-07-03,23.0,Les Essarts,Les Essarts,Team time trial,Garmin–Cervélo,,2011,Garmin–Cervélo,Flat stage,,
3,2011-07-04,198.0,Olonne-sur-Mer,Redon,Flat stage,Tyler Farrar,USA,2011,Tyler_Farrar,,1984-06-02,Wenatchee
4,2011-07-05,172.5,Lorient,Mûr-de-Bretagne,Flat stage,Cadel Evans,AUS,2011,Cadel_Evans,,1977-02-14,Katherine
5,2011-07-06,164.5,Carhaix,Cap Fréhel,Flat stage,Mark Cavendish,GBR,2011,Mark_Cavendish,,1985-05-21,Douglas
6,2011-07-07,226.5,Dinan,Lisieux,Flat stage,Edvald Boasson Hagen,NOR,2011,Edvald_Boasson_Hagen,,1987-05-17,Lillehammer
7,2011-07-08,218.0,Le Mans,Châteauroux,Flat stage,Mark Cavendish,GBR,2011,Mark_Cavendish,,1985-05-21,Douglas
8,2011-07-09,189.0,Aigurande,Super Besse,Medium mountain stage,Rui Costa,POR,2011,Rui_Costa,Mountain stage,,
9,2011-07-10,208.0,Issoire,Saint-Flour,Medium mountain stage,Luis León Sánchez,ESP,2011,Luis_León_Sánchez,Mountain stage,1983-11-24,Mula
10,2011-07-12,158.0,Aurillac,Carmaux,Flat stage,André Greipel,GER,2011,André_Greipel,,1982-07-16,Rostock
11,2011-07-13,167.5,Blaye-les-Mines,Lavaur,Flat stage,Mark Cavendish,GBR,2011,Mark_Cavendish,,1985-05-21,Douglas
12,2011-07-14,211.0,Cugnaux,Luz Ardiden,High mountain stage,Samuel Sánchez,ESP,2011,Samuel_Sánchez,Mountain stage,1978-02-05,Oviedo
13,2011-07-15,152.5,Pau,Lourdes,High mountain stage,Thor Hushovd,NOR,2011,Thor_Hushovd,Mountain stage,1978-01-18,Grimstad
14,2011-07-16,168.5,Saint-Gaudens,Plateau de Beille,High mountain stage,Jelle Vanendert,BEL,2011,Jelle_Vanendert,Mountain stage,1985-02-19,Neerpelt
15,2011-07-17,192.5,Limoux,Montpellier,Flat stage,Mark Cavendish,GBR,2011,Mark_Cavendish,,1985-05-21,Douglas
16,2011-07-19,162.5,Saint-Paul-Trois-Châteaux,Gap,Medium mountain stage,Thor Hushovd,NOR,2011,Thor_Hushovd,Mountain stage,1978-01-18,Grimstad
17,2011-07-20,179.0,Gap,Pinerolo,High mountain stage,Edvald Boasson Hagen,NOR,2011,Edvald_Boasson_Hagen,Mountain stage,1987-05-17,Lillehammer
18,2011-07-21,200.5,Pinerolo,Col du Galibier-Serre Chevalier,High mountain stage,Andy Schleck,LUX,2011,Andy_Schleck,Mountain stage,1985-06-10,Luxembourg
19,2011-07-22,109.5,Modane,Alpe d'Huez,High mountain stage,Pierre Rolland,FRA,2011,Pierre_Rolland,Mountain stage,,
20,2011-07-23,42.5,Grenoble,Grenoble,Individual time trial,Tony Martin,GER,2011,Tony_Martin,Time trial,,
21,2011-07-24,95.0,Créteil,Paris,Flat stage,Mark Cavendish,GBR,2011,Mark_Cavendish,,1985-05-21,Douglas
P,2010-07-03,8.9,Rotterdam,Rotterdam,Individual time trial,Fabian Cancellara,SUI,2010,Fabian_Cancellara,Time trial,1981-03-18,Wohlen bei Bern
1,2010-07-04,223.5,Rotterdam,Brussels,Flat stage,Alessandro Petacchi,ITA,2010,Alessandro_Petacchi,,,La Spezia
2,2010-07-05,201.0,Brussels,Spa,Flat stage,Sylvain Chavanel,FRA,2010,Sylvain_Chavanel,,1979-06-30,Châtellerault
3,2010-07-06,213.0,Wanze,Arenberg Porte du Hainaut,Flat cobblestone stage,Thor Hushovd,NOR,2010,Thor_Hushovd,Flat stage,1978-01-18,Grimstad
4,2010-07-07,153.5,Cambrai,Reims,Flat stage,Alessandro Petacchi,ITA,2010,Alessandro_Petacchi,,,La Spezia
5,2010-07-08,187.5,Épernay,Montargis,Flat stage,Mark Cavendish,GBR,2010,Mark_Cavendish,,1985-05-21,Douglas
6,2010-07-09,227.5,Montargis,Gueugnon,Flat stage,Mark Cavendish,GBR,2010,Mark_Cavendish,,1985-05-21,Douglas
7,2010-07-10,165.5,Tournus,Station des Rousses,Medium mountain stage,Sylvain Chavanel,FRA,2010,Sylvain_Chavanel,Mountain stage,1979-06-30,Châtellerault
8,2010-07-11,189.0,Station des Rousses,Morzine-Avoriaz,Mountain stage,Andy Schleck,LUX,2010,Andy_Schleck,,1985-06-10,Luxembourg
9,2010-07-13,204.5,Morzine-Avoriaz,Saint-Jean-de-Maurienne,Mountain stage,Sandy Casar,FRA,2010,Sandy_Casar,,1979-02-02,Mantes-la-Jolie
10,2010-07-14,179.0,Chambéry,Gap,Medium mountain stage,Sérgio Paulinho,POR,2010,Sérgio_Paulinho,Mountain stage,1980-03-26,Oeiras
11,2010-07-15,184.5,Sisteron,Bourg-lès-Valence,Flat stage,Mark Cavendish,GBR,2010,Mark_Cavendish,,1985-05-21,Douglas
12,2010-07-16,210.5,Bourg-de-Péage,Mende,Medium mountain stage,Joaquim Rodríguez,ESP,2010,Joaquim_Rodríguez,Mountain stage,1979-05-12,Barcelone ou Parets del Vallès
13,2010-07-17,196.0,Rodez,Revel,Flat stage,Alexander Vinokourov,KAZ,2010,Alexander_Vinokourov,,1973-09-16,Beskol (d)
14,2010-07-18,184.5,Revel,Ax 3 Domaines,Mountain stage,Christophe Riblon,FRA,2010,Christophe_Riblon,,1981-01-17,Tremblay-en-France
15,2010-07-19,187.5,Pamiers,Bagnères-de-Luchon,Mountain stage,Thomas Voeckler,FRA,2010,Thomas_Voeckler,,1979-06-22,Schiltigheim
16,2010-07-20,199.5,Bagnères-de-Luchon,Pau,Mountain stage,Pierrick Fédrigo,FRA,2010,Pierrick_Fédrigo,,1978-11-30,Marmande
17,2010-07-22,174.0,Pau,Col du Tourmalet,Mountain stage,Andy Schleck,LUX,2010,Andy_Schleck,,1985-06-10,Luxembourg
18,2010-07-23,198.0,Salies-de-Béarn,Bordeaux,Flat stage,Mark Cavendish,GBR,2010,Mark_Cavendish,,1985-05-21,Douglas
19,2010-07-24,52.0,Bordeaux,Pauillac,Individual time trial,Fabian Cancellara,SUI,2010,Fabian_Cancellara,Time trial,1981-03-18,Wohlen bei Bern
20,2010-07-25,102.5,Longjumeau,Paris,Flat stage,Mark Cavendish,GBR,2010,Mark_Cavendish,,1985-05-21,Douglas
1,2009-07-04,15.5,Monaco,Monaco,Individual time trial,Fabian Cancellara,SUI,2009,Fabian_Cancellara,Time trial,1981-03-18,Wohlen bei Bern
2,2009-07-05,187.0,Monaco,Brignoles,Flat stage,Mark Cavendish,GBR,2009,Mark_Cavendish,,1985-05-21,Douglas
3,2009-07-06,196.5,Marseille,La Grande-Motte,Flat stage,Mark Cavendish,GBR,2009,Mark_Cavendish,,1985-05-21,Douglas
4,2009-07-07,39.0,Montpellier,Montpellier,Team time trial,Astana,,2009,Astana,Flat stage,,
5,2009-07-08,196.5,Cap d'Agde,Perpignan,Flat stage,Thomas Voeckler,FRA,2009,Thomas_Voeckler,,1979-06-22,Schiltigheim
6,2009-07-09,181.5,Girona,Barcelona,Flat stage,Thor Hushovd,NOR,2009,Thor_Hushovd,,1978-01-18,Grimstad
7,2009-07-10,224.0,Barcelona,Andorra-Arcalis,Mountain stage,Brice Feillu,FRA,2009,Brice_Feillu,,1985-07-26,Châteaudun
8,2009-07-11,176.5,Andorra la Vella,Saint-Girons,Mountain stage,Luis León Sánchez,ESP,2009,Luis_León_Sánchez,,1983-11-24,Mula
9,2009-07-12,160.5,Saint-Gaudens,Tarbes,Mountain stage,Pierrick Fédrigo,FRA,2009,Pierrick_Fédrigo,,1978-11-30,Marmande
10,2009-07-14,194.5,Limoges,Issoudun,Flat stage,Mark Cavendish,GBR,2009,Mark_Cavendish,,1985-05-21,Douglas
11,2009-07-15,192.0,Vatan,Saint-Fargeau,Flat stage,Mark Cavendish,GBR,2009,Mark_Cavendish,,1985-05-21,Douglas
12,2009-07-16,211.5,Tonnerre,Vittel,Flat stage,Nicki Sørensen,DEN,2009,Nicki_Sørensen,,1975-05-14,Hillerød
13,2009-07-17,200.0,Vittel,Colmar,Medium mountain stage,Heinrich Haussler,GER,2009,Heinrich_Haussler,Mountain stage,1984-02-25,Inverell
14,2009-07-18,199.0,Colmar,Besançon,Flat stage,Sergei Ivanov,RUS,2009,Sergei_Ivanov,,,
