Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
21,1960-07-17,200.0,Troyes,Paris,Plain stage,Jean Graczyk,FRA,1960,Jean_Graczyk,Flat stage,1933-05-26,Neuvy-sur-Barangeon
1,1959-06-25,238.0,Mulhouse,Metz,Plain stage,André Darrigade,FRA,1959,André_Darrigade,Flat stage,1929-04-24,Narrosse
2,1959-06-26,234.0,Metz,Namur,Plain stage,Vito Favero,ITA,1959,Vito_Favero,Flat stage,1932-10-21,Sarmede
3,1959-06-27,217.0,Namur,Roubaix,Plain stage,Robert Cazala,FRA,1959,Robert_Cazala,Flat stage,1934-01-07,Bellocq
4,1959-06-28,230.0,Roubaix,Rouen,Plain stage,Dino Bruni,ITA,1959,Dino_Bruni,Flat stage,1932-04-13,Portomaggiore
5,1959-06-29,286.0,Rouen,Rennes,Plain stage,Jean Graczyk,FRA,1959,Jean_Graczyk,Flat stage,1933-05-26,Neuvy-sur-Barangeon
6,1959-06-30,45.0,Blain,Nantes,Individual time trial,Roger Rivière,FRA,1959,Roger_Rivière,Time trial,1936-02-23,Saint-Étienne
7,1959-07-01,190.0,Nantes,La Rochelle,Plain stage,Roger Hassenforder,FRA,1959,Roger_Hassenforder,Flat stage,1930-07-23,Sausheim
8,1959-07-02,201.0,La Rochelle,Bordeaux,Plain stage,Michel Dejouhannet,FRA,1959,Michel_Dejouhannet,Flat stage,1935-07-05,Châteauroux
9,1959-07-03,207.0,Bordeaux,Bayonne,Plain stage,Marcel Queheille,FRA,1959,Marcel_Queheille,Flat stage,1930-03-16,Sauguis-Saint-Étienne
10,1959-07-05,235.0,Bayonne,Bagnères-de-Bigorre,Stage with mountain(s),Marcel Janssens,BEL,1959,Marcel_Janssens,Mountain stage,1931-12-30,Edegem
11,1959-07-06,119.0,Bagnères-de-Bigorre,Saint-Gaudens,Stage with mountain(s),André Darrigade,FRA,1959,André_Darrigade,Mountain stage,1929-04-24,Narrosse
12,1959-07-07,184.0,Saint-Gaudens,Albi,Plain stage,Rolf Graf,SUI,1959,Rolf_Graf,Flat stage,1932-08-19,Unterentfelden
13,1959-07-08,219.0,Albi,Aurillac,Stage with mountain(s),Henry Anglade,FRA,1959,Henry_Anglade,Mountain stage,1933-07-06,Thionville
14,1959-07-09,231.0,Aurillac,Clermont-Ferrand,Stage with mountain(s),André Le Dissez,FRA,1959,André_Le_Dissez,Mountain stage,1929-11-11,Plougonven
15,1959-07-10,12.0,Puy de Dôme,Puy de Dôme,Mountain time trial,Federico Bahamontes,ESP,1959,Federico_Bahamontes,Time trial,1928-07-09,Val de Santo Domingo (d)
