Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city,dist_from_origin,dist_from_destination
5,1923-07-02,482.0,Les Sables d'Olonne,Bayonne,Plain stage,Robert Jacquinot,FRA,1923,Robert_Jacquinot,Flat stage,1893-12-31,Aubervilliers,412.46011449626354,671.9036249662704
6,1923-07-04,326.0,Bayonne,Luchon,Stage with mountain(s),Jean Alavoine,FRA,1923,Jean_Alavoine,Mountain stage,1888-04-01,Roubaix,874.2026709321207,900.0241964750461
7,1923-07-06,323.0,Luchon,Perpignan,Stage with mountain(s),Jean Alavoine,FRA,1923,Jean_Alavoine,Mountain stage,1888-04-01,Roubaix,900.0241964750461,888.8009342095492
9,1923-07-10,281.0,Toulon,Nice,Stage with mountain(s),Jean Alavoine,FRA,1923,Jean_Alavoine,Mountain stage,1888-04-01,Roubaix,866.7395542088022,836.4845657572102
10,1923-07-12,275.0,Nice,Briançon,Stage with mountain(s),Henri Pélissier,FRA,1923,Henri_Pélissier,Mountain stage,1889-01-22,18e arrondissement de Paris,688.7857514580016,550.0701434832664
11,1923-07-14,260.0,Briançon,Geneva,Stage with mountain(s),Henri Pélissier,FRA,1923,Henri_Pélissier,Mountain stage,1889-01-22,18e arrondissement de Paris,550.0701434832664,412.2988776079014
12,1923-07-16,377.0,Geneva,Strasbourg,Plain stage,Joseph Muller,FRA,1923,Joseph_Muller,Flat stage,1895-03-09,Orschwiller,245.324182116013,46.9316119547867
13,1923-07-18,300.0,Strasbourg,Metz,Plain stage,Romain Bellenger,FRA,1923,Romain_Bellenger,Flat stage,1894-01-18,18e arrondissement de Paris,397.43192264402785,279.98028297028566
14,1923-07-20,433.0,Metz,Dunkerque,Plain stage,Félix Goethals,FRA,1923,Félix_Goethals,Flat stage,1891-01-14,Rinxent,369.3950239158205,51.51247215902581
15,1923-07-22,343.0,Dunkerque,Paris,Plain stage,Félix Goethals,FRA,1923,Félix_Goethals,Flat stage,1891-01-14,Rinxent,51.51247215902581,220.5949268798573
1,1922-06-25,388.0,Paris,Le Havre,Plain stage,Robert Jacquinot,FRA,1922,Robert_Jacquinot,Flat stage,1893-12-31,Aubervilliers,7.692041361436082,177.7997627033446
2,1922-06-27,364.0,Le Havre,Cherbourg,Plain stage,Romain Bellenger,FRA,1922,Romain_Bellenger,Flat stage,1894-01-18,18e arrondissement de Paris,177.9193785353142,302.36540693522016
3,1922-06-29,405.0,Cherbourg,Brest,Plain stage,Robert Jacquinot,FRA,1922,Robert_Jacquinot,Flat stage,1893-12-31,Aubervilliers,302.55928177594603,509.21113664532794
5,1922-07-03,482.0,Les Sables d'Olonne,Bayonne,Plain stage,Jean Alavoine,FRA,1922,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,592.5471406615608,874.2026709321207
