Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city,dist_from_origin,dist_from_destination
5,1906-07-12,345.0,Grenoble,Nice,Stage with mountain(s),René Pottier,FRA,1906,René_Pottier,Mountain stage,,,,
6,1906-07-14,292.0,Nice,Marseille,Plain stage,Georges Passerieu,FRA,1906,Georges_Passerieu,Flat stage,1885-10-11,Londres,1029.6409379215074,1002.090548611528
7,1906-07-16,480.0,Marseille,Toulouse,Plain stage,Louis Trousselier,FRA,1906,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,1.9767889696010505,319.1552295175922
8,1906-07-18,300.0,Toulouse,Bayonne,Plain stage,Jean-Baptiste Dortignacq,FRA,1906,Jean-Baptiste_Dortignacq,Flat stage,1884-04-25,Arudy,161.59922394751788,95.2945878627286
9,1906-07-20,338.0,Bayonne,Bordeaux,Plain stage,Louis Trousselier,FRA,1906,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,554.5238927208826,505.61627708066993
10,1906-07-22,391.0,Bordeaux,Nantes,Plain stage,Louis Trousselier,FRA,1906,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,505.61627708066993,694.8355949855505
11,1906-07-24,321.0,Nantes,Brest,Plain stage,Louis Trousselier,FRA,1906,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,694.8355949855505,949.62962423924
12,1906-07-26,415.0,Brest,Caen,Plain stage,Georges Passerieu,FRA,1906,Georges_Passerieu,Flat stage,1885-10-11,Londres,466.7731332294524,259.27610814939896
13,1906-07-29,259.0,Caen,Paris,Plain stage,René Pottier,FRA,1906,René_Pottier,Flat stage,,,,
1,1905-07-09,340.0,Paris,Nancy,Plain stage,Louis Trousselier,FRA,1905,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,659.7390771947219,601.290351683052
2,1905-07-11,299.0,Nancy,Besançon,Stage with mountain(s),Hippolyte Aucouturier,FRA,1905,Hippolyte_Aucouturier,Mountain stage,1876-10-17,La Celle,516.6594574237797,665.8656235504791
3,1905-07-14,327.0,Besançon,Grenoble,Plain stage,Louis Trousselier,FRA,1905,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,439.141406790227,210.2569057890653
4,1905-07-16,348.0,Grenoble,Toulon,Stage with mountain(s),Hippolyte Aucouturier,FRA,1905,Hippolyte_Aucouturier,Mountain stage,1876-10-17,La Celle,885.8116823069237,1100.3105613250577
5,1905-07-18,192.0,Toulon,Nîmes,Plain stage,Louis Trousselier,FRA,1905,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,50.26098386189368,100.05374601461081
6,1905-07-20,307.0,Nîmes,Toulouse,Plain stage,Jean-Baptiste Dortignacq,FRA,1905,Jean-Baptiste_Dortignacq,Flat stage,1884-04-25,Arudy,395.81378373455607,161.59922394751788
7,1905-07-22,268.0,Toulouse,Bordeaux,Plain stage,Louis Trousselier,FRA,1905,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,319.1552295175922,505.61627708066993
8,1905-07-24,257.0,Bordeaux,La Rochelle,Plain stage,Hippolyte Aucouturier,FRA,1905,Hippolyte_Aucouturier,Flat stage,1876-10-17,La Celle,1165.5381083425352,1084.9749733563458
9,1905-07-26,263.0,La Rochelle,Rennes,Plain stage,Louis Trousselier,FRA,1905,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,605.2357275358748,764.5569772406348
10,1905-07-28,167.0,Rennes,Caen,Plain stage,Jean-Baptiste Dortignacq,FRA,1905,Jean-Baptiste_Dortignacq,Flat stage,1884-04-25,Arudy,564.9061069193627,675.4265069446628
11,1905-07-29,253.0,Caen,Paris,Plain stage,Jean-Baptiste Dortignacq,FRA,1905,Jean-Baptiste_Dortignacq,Flat stage,1884-04-25,Arudy,675.4265069446628,673.9429196495691
1,1904-07-02,467.0,Montgeron,Lyon,Plain stage,Maurice Garin,FRA,1904,Maurice_Garin,Flat stage,1871-03-03,Arvier,488.1687544189428,181.8097462564495
2,1904-07-09,374.0,Lyon,Marseille,Stage with mountain(s),Hippolyte Aucouturier,FRA,1904,Hippolyte_Aucouturier,Mountain stage,1876-10-17,La Celle,853.5581631880754,1094.6083524089806
3,1904-07-13,424.0,Marseille,Toulouse,Plain stage,Hippolyte Aucouturier,FRA,1904,Hippolyte_Aucouturier,Flat stage,1876-10-17,La Celle,1094.6083524089806,1189.5034959395946
4,1904-07-17,268.0,Toulouse,Bordeaux,Plain stage,Lucien Pothier,FRA,1904,Lucien_Pothier,Flat stage,1883-01-15,Cuy,674.3647034827808,589.9768587858872
5,1904-07-20,425.0,Bordeaux,Nantes,Plain stage,Hippolyte Aucouturier,FRA,1904,Hippolyte_Aucouturier,Flat stage,1876-10-17,La Celle,1165.5381083425352,1027.378457492947
6,1904-07-23,471.0,Nantes,Paris,Plain stage,Hippolyte Aucouturier,FRA,1904,Hippolyte_Aucouturier,Flat stage,1876-10-17,La Celle,1027.378457492947,688.9701427491549
1,1903-07-01,467.0,Paris,Lyon,Plain stage,Maurice Garin,FRA,1903,Maurice_Garin,Flat stage,1871-03-03,Arvier,507.3381007718102,181.8097462564495
2,1903-07-05,374.0,Lyon,Marseille,Stage with mountain(s),Hippolyte Aucouturier,FRA,1903,Hippolyte_Aucouturier,Mountain stage,1876-10-17,La Celle,853.5581631880754,1094.6083524089806
3,1903-07-08,423.0,Marseille,Toulouse,Plain stage,Hippolyte Aucouturier,FRA,1903,Hippolyte_Aucouturier,Flat stage,1876-10-17,La Celle,1094.6083524089806,1189.5034959395946
5,1903-07-13,425.0,Bordeaux,Nantes,Plain stage,Maurice Garin,FRA,1903,Maurice_Garin,Flat stage,1871-03-03,Arvier,615.1276090847726,690.3646683650086
6,1903-07-18,471.0,Nantes,Paris,Plain stage,Maurice Garin,FRA,1903,Maurice_Garin,Flat stage,1871-03-03,Arvier,690.3646683650086,507.3381007718102
